adj,noun
wenig,Minuten
unglaublich,Blick
viel,Holz
klar,Optik
freundlich,Service
jeder,Fall
positive,Grundgefühl
groß,Anteil
weiter,Vorzug
jung,Seehotel
edel,Spa
regional,Gourmetküche
fantastich,Sky-Lounge
japanisch,Badekultur
eng,Beziehung
japanisch,Thermalbad
traditionell,Heißwasserbecken
vielfältig,Outdoor-Saunalandschaft
finnisch,Hüttensauna
breit,Angebot
besonder,Reiz
öffentlich,Bereich
jeder,Komfort
erdenklich,Komfort
flächig,Holzinterieur
hell,Holzinterieur
groß,Fenster
japanisch,Element
hauseigen,Design
toll,Seeblick
klein,Strand
atemberaubend,Blick
gut,Küche
entspannt,Atmosphäre
leiblich,Wohl
reichhaltig,Frühstücksbüfett
klein,Mittagskarte
ausgezeichnet,Feinschmeckerküche 
möbliert,Lounge
schön,Außenpool
großzügig,Außenpool
möbliert,Liegewiese
nördlich,Seeufer
herrschaftlich,Pfarrhaus
sein,Zimmer
lichtdurchflutet,Wintergarten
gehoben,Gastlichkeit
größtmöglich,Komfort
individuell,Service
mehrer,Tagungsraum
luxuriös,Angebot
elegant,Atmosphäre
historisch,Ambiente
barock,Charme
modern,Komfort
schlicht,Eleganz
hell,Leichtigkeit
warm,Holzton
einzigartig,Weise
kraftig,Farbe
edel,Antiquitäten
zeitgenössisch,Kunst
all,Bereich
opulent,Pracht
geräumig,Palais-Suite
separat,WC
luxuriös,Einrichtung
edel,Stoff
hochwertig,Material
kostenlos,WLAN
ausgezeichnet,Sterneküche
elegant,Rahmen
moderne,Küche
saisonale,Küche
französisch-mediterran,Küche
kreativ,Idee
kulinarisch,Köstlichkeit
historisch,Altstadt
direkt,Nähe
barock,Dreikönigskirche
beste,Lage
dekorativ,Fassade
romantisch,Gasse
idyllisch,Innenhof
berühmt,Sehenswürdigkeit
nah,Elbe
opulent,Frühstücksbüfett
gemütlich,Bistro
mondän,Bar
opulent,Mahl
frisch,Produkt
hausgemacht,Spezialität
reichhaltig,Angebot
weiter,Service
romantisch,Frühstück
leicht,Gericht
deutsch,Gericht
regional,Gericht
klein,Snack
groß,Glaskuppeldach
lichtdurchflutet,Wintergarten
grün,Marmorboden
schimmernd,Marmorboden
gerühmt,Gourmetrestaurant
altenglisch,Clubatmosphäre
vorzüglich,Weinkarte
exzellent,Cocktail
gastronomisch,Angebot
exklusiv,Spa
modern,Fitnessraum
hoteleigen,Spa
neu,Spannkraft
exklusiv,Wellnessbereich
kostenfrei,Fitnessraum
modern,Gerät
natürlich,Substanz
exotisch-karibisch,Stil
finnisch,Sauna
romantisch,Kutschfahrt
ruhig,Lage
zentral,Lage
direkt,Nachbarschaft
historisch,Altstadt
geschmackvoll,Räumlichkeit
privat,Feiern
geschäftlich,Meeting
stilvoll,Suite
hell,Tagungsraum
modern,Technik
individuell,Service
klein,Designhotel
hochexklusiv,Designhotel
einzigartig,Glaskuppelsuite
fantastisch,Ostseeblick
schick,Raumgestaltung
stilvoll,Spa
groß,Klasse
lang,Reihe
bildschön,Strandvilla
historisch,Hotel
eindrucksvoll,Glaskuppel
wilhelminisch,Bäderachitektur
edel,Schwarztöne
überraschend,Harmonieeffekt
klein,Spa
edel,Spa
engagiert,Service
klein,Luxushotel
raumhoch,Fenster
reichlich,Licht
stylisch,Einrichtung
hochkarätig,Austattung
ultrakomfortabel,Kingsize-Bett
regional,Spitzenküche
großzügig,Fenster
weiter,Genuss-Highlight
mehrer,Sauna
verschieden,Treatment
klassisch,Massage
58,Zimmer
1730,Jahr
2010,Jahr
58,Zimmer
90,qm
2,Schlafraum
2,Bad
1,Stern
17,GaultMillau-Punkt
3,Haube
4,Diamant
2013,Jahr
13,km
15,Minuten
1.5,km
1,km
10,km
4,Räumlichkeit
120,Person
48,Gästezimmer
