adj,noun
wenig,Zeit
unglaublich,Sinn
viel,Sinn
klar,Sinn
freundlich,Erlebnis
jeder,Erlebnis
positive,Sinn
groß,Erlebnis
weiter,Sinn
jung,Hotel
edel,Erlebnis
regional,Essen
fantastich,Hotel
japanisch,Sinn
eng,Sinn
japanisch,Erlebnis
traditionell,Erlebnis
vielfältig,Ort
finnisch,Erlebnis
breit,Erlebnis
besonder,Sinn
öffentlich,Hotel
jeder,Sinn
erdenklich,Sinn
flächig,Sinn
hell,Sinn
groß,Hotel
japanisch,Sinn
hauseigen,Sinn
toll,Sinn
klein,Ort
atemberaubend,Sinn
gut,Essen
entspannt,Sinn
leiblich,Sinn
reichhaltig,Essen
klein,Essen
ausgezeichnet,Essen 
möbliert,Hotel
schön,Hotel
großzügig,Hotel
möbliert,Hotel
nördlich,Ort
herrschaftlich,Hotel
sein,Hotel
lichtdurchflutet,Hotel
gehoben,Sinn
größtmöglich,Sinn
individuell,Erlebnis
mehrer,Hotel
luxuriös,Erlebnis
elegant,Sinn
historisch,Sinn
barock,Sinn
modern,Sinn
schlicht,Sinn
hell,Sinn
warm,Sinn
einzigartig,Sinn
kraftig,Sinn
edel,Sinn
zeitgenössisch,Sinn
all,Hotel
opulent,Sinn
geräumig,Hotel
separat,Hotel
luxuriös,Hotel
edel,Sinn
hochwertig,Sinn
kostenlos,Hotel
ausgezeichnet,Essen
elegant,Sinn
moderne,Essen
saisonale,Essen
französisch-mediterran,Essen
kreativ,Sinn
kulinarisch,Essen
historisch,Ort
direkt,Ort
barock,Ort
beste,Hotel
dekorativ,Sinn
romantisch,Ort
idyllisch,Hotel
berühmt,Ort
nah,Ort
opulent,Essen
gemütlich,Essen
mondän,Hotel
opulent,Essen
frisch,Essen
hausgemacht,Essen
reichhaltig,Erlebnis
weiter,Erlebnis
romantisch,Essen
leicht,Essen
deutsch,Essen
regional,Essen
klein,Essen
groß,Sinn
lichtdurchflutet,Hotel
grün,Hotel
schimmernd,Hotel
gerühmt,Essen
altenglisch,Sinn
vorzüglich,Essen
exzellent,Essen
gastronomisch,Erlebnis
exklusiv,Erlebnis
modern,Erlebnis
hoteleigen,Erlebnis
neu,Erlebnis
exklusiv,Erlebnis
kostenfrei,Erlebnis
modern,Hotel
natürlich,Erlebnis
exotisch-karibisch,Sinn
finnisch,Erlebnis
romantisch,Erlebnis
ruhig,Hotel
zentral,Hotel
direkt,Ort
historisch,Ort
geschmackvoll,Hotel
privat,Erlebnis
geschäftlich,Erlebnis
stilvoll,Hotel
hell,Hotel
modern,Hotel
individuell,Erlebnis
klein,Hotel
hochexklusiv,Hotel
einzigartig,Hotel
fantastisch,Sinn
schick,Hotel
stilvoll,Erlebnis
groß,Sinn
lang,Erlebnis
bildschön,Hotel
historisch,Hotel
eindrucksvoll,Sinn
wilhelminisch,Sinn
edel,Sinn
überraschend,Sinn
klein,Erlebnis
edel,Erlebnis
engagiert,Erlebnis
klein,Hotel
raumhoch,Hotel
reichlich,Sinn
stylisch,Hotel
hochkarätig,Hotel
ultrakomfortabel,Hotel
regional,Essen
großzügig,Hotel
weiter,Sinn
mehrer,Erlebnis
verschieden,Sinn
klassisch,Erlebnis
58,Hotel
1730,Zeit
2010,Zeit
58,Hotel
90,Fläche
2,Hotel
2,Erlebnis
1,Preis
17,Preis
3,Preis
4,Preis
2013,Zeit
13,Fläche
15,Zeit
1.5,Fläche
1,Fläche
10,Fläche
4,Hotel
120,Hotel
48,Hotel
